1,65,1
1,34,3
2,65,1
2,34,3
3,65,1
3,34,3
4,66,1
4,94,3
5,66,1
5,94,3
6,66,1
6,94,3
7,67,1
7,44,3
8,67,1
8,44,3
9,67,1
9,44,3
10,19,1
10,50,3
11,61,1
12,14,1
12,110,3
13,19,1
13,50,3
14,61,1
15,68,1
15,97,3
16,51,1
16,77,2
16,145,3
17,51,1
17,77,2
17,145,3
18,51,1
18,77,2
18,145,3
19,50,1
19,62,2
19,55,3
20,50,1
20,62,2
20,55,3
21,51,1
21,97,3
22,51,1
22,97,3
23,22,1
23,61,2
23,127,3
24,22,1
24,61,2
24,127,3
25,9,1
25,31,3
26,9,1
26,31,3
27,8,1
27,146,3
28,8,1
28,146,3
29,38,1
29,79,2
29,55,3
30,38,1
30,79,2
30,55,3
31,38,1
31,79,2
31,125,3
32,38,1
32,79,2
32,55,3
33,38,1
33,79,2
33,55,3
34,38,1
34,79,2
34,125,3
35,56,1
35,98,2
35,132,3
36,56,1
36,98,2
36,109,3
37,18,1
37,70,3
38,18,1
38,70,3
39,56,1
39,172,2
39,132,3
40,56,1
40,172,2
40,119,3
41,39,1
41,151,3
42,39,1
42,151,3
43,34,1
43,50,3
44,34,1
44,1,3
45,34,1
45,27,3
46,27,1
46,87,2
46,6,3
47,27,1
47,87,2
47,6,3
48,14,1
48,110,2
48,50,3
49,19,1
49,110,2
49,147,3
50,8,1
50,71,2
50,159,3
51,8,1
51,71,2
51,159,3
52,53,1
52,101,2
52,127,3
53,7,1
53,101,2
53,127,3
54,6,1
54,13,2
54,33,3
55,6,1
55,13,2
55,33,3
56,72,1
56,83,2
56,128,3
57,72,1
57,83,2
57,128,3
58,22,1
58,18,2
58,154,3
59,22,1
59,18,2
59,154,3
60,11,1
60,6,2
60,33,3
61,11,1
61,6,2
61,33,3
62,11,1
62,6,2
62,33,3
63,28,1
63,39,2
63,98,3
64,28,1
64,39,2
64,98,3
65,28,1
65,39,2
65,98,3
66,62,1
66,99,2
66,80,3
67,62,1
67,99,2
67,80,3
68,62,1
68,99,2
68,80,3
69,34,1
69,82,3
70,34,1
70,82,3
71,34,1
71,82,3
72,29,1
72,64,2
72,44,3
73,29,1
73,64,2
73,44,3
74,69,1
74,5,2
74,8,3
75,69,1
75,5,2
75,8,3
76,69,1
76,5,2
76,8,3
77,50,1
77,18,2
77,49,3
78,50,1
78,18,2
78,49,3
79,12,1
79,20,2
79,144,3
80,12,1
80,20,2
80,144,3
81,42,1
81,5,2
81,148,3
82,42,1
82,5,2
82,148,3
83,51,1
83,39,2
83,128,3
84,50,1
84,48,2
84,77,3
85,50,1
85,48,2
85,77,3
86,47,1
86,93,2
86,115,3
87,47,1
87,93,2
87,115,3
88,1,1
88,60,2
88,143,3
89,1,1
89,60,2
89,143,3
90,75,1
90,92,2
90,142,3
91,75,1
91,92,2
91,142,3
92,26,1
93,26,1
94,130,1
95,69,1
95,5,2
95,133,3
96,15,1
96,108,2
96,39,3
97,15,1
97,108,2
97,39,3
98,52,1
98,75,2
98,125,3
99,52,1
99,75,2
99,125,3
100,43,1
100,9,2
100,106,3
101,43,1
101,9,2
101,106,3
102,34,1
102,139,3
103,34,1
103,139,3
104,69,1
104,31,2
104,4,3
105,69,1
105,31,2
105,4,3
106,7,1
106,120,2
106,84,3
107,51,1
107,89,2
107,39,3
108,20,1
108,12,2
108,13,3
109,26,1
109,256,2
109,1,3
110,26,1
110,256,2
110,1,3
111,31,1
111,69,2
111,120,3
112,31,1
112,69,2
112,120,3
113,30,1
113,32,2
113,131,3
114,34,1
114,102,2
114,144,3
115,48,1
115,113,2
115,39,3
116,33,1
116,97,2
116,6,3
117,38,1
117,97,2
117,6,3
118,33,1
118,41,2
118,31,3
119,33,1
119,41,2
119,31,3
120,35,1
120,30,2
120,148,3
121,35,1
121,30,2
121,148,3
122,43,1
122,111,2
122,101,3
123,68,1
123,101,2
123,80,3
124,12,1
124,108,2
124,87,3
125,9,1
125,72,3
126,49,1
126,72,3
127,52,1
127,104,2
127,153,3
128,22,1
128,83,2
128,125,3
129,33,1
129,155,3
130,22,1
130,153,3
131,11,1
131,75,2
131,93,3
132,7,1
132,150,3
133,50,1
133,91,2
133,107,3
134,11,1
134,93,3
135,10,1
135,95,3
136,18,1
136,62,3
137,36,1
137,88,2
137,148,3
138,33,1
138,75,2
138,133,3
139,33,1
139,75,2
139,133,3
140,33,1
140,4,2
140,133,3
141,33,1
141,4,2
141,133,3
142,69,1
142,46,2
142,127,3
143,17,1
143,47,2
143,82,3
144,46,1
144,81,3
145,46,1
145,9,3
146,46,1
146,49,3
147,61,1
147,63,3
148,61,1
148,63,3
149,39,1
149,136,3
150,46,1
150,127,3
151,28,1
